Bell, Geoff (I)	War Horse	2011
Bell, Geoff (I)	The Seeker: The Dark Is Rising	2007
Bell, Geoff (I)	Scoop	2006
Bell, Geoff (I)	Stardust	2007
Bell, Geoff (I)	Girl with a Pearl Earring	2003
Bell, Geoff (I)	Solomon Kane	2009
Bell, Geoff (I)	RocknRolla	2008
Downer, Wayne	Saw 3D	2010
Downer, Wayne	Undercover Brother	2002
Downer, Wayne	Repo Men	2010
Downer, Wayne	Dracula 2000	2000
Moore, Demi	Indecent Proposal	1993
Moore, Demi	A Few Good Men	1992
Moore, Demi	G.I. Jane	1997
Moore, Demi	St. Elmo's Fire	1985
Moore, Demi	About Last Night...	1986
Moore, Demi	Blame It on Rio	1984
Moore, Demi	The Hunchback of Notre Dame	1996
Moore, Demi	Bobby	2006
Moore, Demi	Deconstructing Harry	1997
Moore, Demi	Margin Call	2011
Moore, Demi	Mr. Brooks	2007
Moore, Demi	Charlie's Angels: Full Throttle	2003
Moore, Demi	Striptease	1996
Moore, Demi	Ghost	1990
Moore, Demi	Beavis and Butt-Head Do America	1996
Moore, Demi	Disclosure	1994
McClure, Marc (I)	Frost/Nixon	2008
McClure, Marc (I)	Freaky Friday	2003
McClure, Marc (I)	Superman III	1983
McClure, Marc (I)	Coach Carter	2005
McClure, Marc (I)	Superman II	1980
McClure, Marc (I)	Apollo 13	1995
McClure, Marc (I)	Superman	1978
McClure, Marc (I)	Back to the Future	1985
McClure, Marc (I)	Back to the Future Part III	1990
McClure, Marc (I)	That Thing You Do!	1996
Cooper, Chris (I)	Me, Myself & Irene	2000
Cooper, Chris (I)	October Sky	1999
Cooper, Chris (I)	Capote	2005
Cooper, Chris (I)	The Bourne Supremacy	2004
Cooper, Chris (I)	Money Train	1995
Cooper, Chris (I)	The Patriot	2000
Cooper, Chris (I)	The Company Men	2010
Cooper, Chris (I)	The Town	2010
Cooper, Chris (I)	Seabiscuit	2003
Cooper, Chris (I)	A Time to Kill	1996
Cooper, Chris (I)	Where the Wild Things Are	2009
Cooper, Chris (I)	Remember Me	2010
Cooper, Chris (I)	Breach	2007
Cooper, Chris (I)	The Kingdom	2007
Cooper, Chris (I)	The Muppets	2011
Cooper, Chris (I)	American Beauty	1999
Cooper, Chris (I)	Syriana	2005
Cooper, Chris (I)	The Horse Whisperer	1998
Cooper, Chris (I)	Adaptation.	2002
Cooper, Chris (I)	Lone Star	1996
Cooper, Chris (I)	Jarhead	2005
Cooper, Chris (I)	Great Expectations	1998
Cooper, Chris (I)	The Bourne Identity	2002
Lindley, Audra	The Relic	1997
Lindley, Audra	Sudden Death	1995
Lindley, Audra	Best Friends	1982
Fleming, Carrie (I)	Good Luck Chuck	2007
Fleming, Carrie (I)	In the Name of the King: A Dungeon Siege Tale	2007
Fleming, Carrie (I)	Get Carter	2000
Cassavetes, Frank	Battleship	2012
Cassavetes, Frank	John Q	2002
Cassavetes, Frank	Alpha Dog	2006
Cassavetes, Frank	My Sister's Keeper	2009
Cassavetes, Frank	Kicking & Screaming	2005
Mueller-Stahl, Armin	Angels & Demons	2009
Mueller-Stahl, Armin	The Thirteenth Floor	1999
Mueller-Stahl, Armin	The Game	1997
Mueller-Stahl, Armin	Mission to Mars	2000
Mueller-Stahl, Armin	Eastern Promises	2007
Mueller-Stahl, Armin	The Peacemaker	1997
Mueller-Stahl, Armin	Shine	1996
Mueller-Stahl, Armin	The X Files	1998
Knudsen, Erik (I)	Saw II	2005
Knudsen, Erik (I)	Scream 4	2011
Knudsen, Erik (I)	Beastly	2011
