'Crocodile' Dundee II	1988	1.6339
10	1979	7.6177
10 Things I Hate About You	1999	1.2864
10,000 BC	2008	0.3243
101 Dalmatians	1996	0.3376
102 Dalmatians	2000	0.5218
1066	2012	12.8205
12	2007	0.6829
12 Rounds	2009	7.4061
127 Hours	2010	2.3677
13 Going on 30	2004	1.3585
13 game sayawng	2006	8.4034
1408	2007	0.5900
15 Minutes	2001	4.4292
16 Blocks	2006	2.2118
17 Again	2009	1.0491
1941	1979	3.9265
2 Days in the Valley	1996	10.4757
2 Fast 2 Furious	2003	0.4000
2 Guns	2013	11.1111
20-seiki shônen: Honkaku kagaku bôken eiga	2008	6.5918
200 Cigarettes	1999	13.3455
2001: A Space Odyssey	1968	2.5639
2010	1984	11.0971
21	2008	1.0392
21 Grams	2003	3.9838
21 Jump Street	2012	0.5352
25th Hour	2002	4.7621
27 Dresses	2008	0.5407
28 Days	2000	1.4889
28 Days Later...	2002	1.0344
28 Weeks Later	2007	2.2237
3 Idiots	2009	5.2274
3 Men and a Baby	1987	3.7266
3 Men and a Little Lady	1990	7.7775
3 Ninjas	1992	8.2466
3 Strikes	2000	7.4894
30 Days of Night	2007	2.8224
30 Minutes or Less	2011	4.0606
300	2006	0.1918
3000 Miles to Graceland	2001	6.4674
3:10 to Yuma	2007	1.3744
3D rou pu tuan zhi ji le bao jian	2011	4.1799
40 Days and 40 Nights	2002	1.9327
48 Hrs.	1982	8.4430
4: Rise of the Silver Surfer	2007	0.2991
50 First Dates	2004	0.3808
50/50	2011	2.4763
500) Days of Summer	2009	1.9570
7 Zwerge	2004	6.5232
8 Mile	2002	0.3830
8 femmes	2002	4.6233
88 Minutes	2007	9.4723
8MM	1999	2.4411
9 rota	2005	0.2224
A Beautiful Mind	2001	0.3159
A Bridge Too Far	1977	9.7603
A Bug's Life	1998	0.2394
A Chorus Line	1985	8.3928
A Christmas Carol	2009	0.5586
A Christmas Story	1983	8.4963
A Cinderella Story	2004	1.4377
A Civil Action	1998	1.0854
A Clockwork Orange	1971	13.1181
A Dangerous Method	2011	9.6615
A Day Without a Mexican	2004	12.0162
A Few Good Men	1992	1.6610
A Fish Called Wanda	1988	6.1385
A Good Year	2006	8.8268
A Guy Thing	2003	11.6271
A History of Violence	2005	1.7574
A Kid in King Arthur's Court	1995	5.1826
A Knight's Tale	2001	1.4242
A League of Their Own	1992	4.9761
A Lot Like Love	2005	4.3849
A Love Story	2007	1.1560
A Man Apart	2003	5.1929
A Midsummer Night's Dream	1999	4.3504
A Mighty Heart	2007	7.1644
A Mighty Wind	2003	4.9528
A Night at the Roxbury	1998	2.5457
A Nightmare on Elm Street	1984	12.7169
A Nightmare on Elm Street	2010	1.2481
A Nightmare on Elm Street 3: Dream Warriors	1987	0.9468
A Nightmare on Elm Street 4: The Dream Master	1988	1.1339
A Nightmare on Elm Street Part 2: Freddy's Revenge	1985	6.3569
A Nightmare on Elm Street: The Dream Child	1989	3.6791
A Passage to India	1984	3.0642
A Perfect Getaway	2009	12.7904
A Perfect Murder	1998	1.1004
A Perfect World	1993	3.3651
